# time passed	number of events	interval average	total
4567.5	241.0	32.13333333333333	143376.0
4575.0	235.0	31.333333333333332	143611.0
4582.5	237.0	31.6	143848.0
4590.0	249.0	33.2	144097.0
4597.5	243.0	32.4	144340.0
4605.0	254.0	33.86666666666667	144594.0
4612.5	228.0	30.4	144822.0
4620.0	247.0	32.93333333333333	145069.0
4627.5	240.0	32.0	145309.0
4635.0	225.0	30.0	145534.0
4642.5	212.0	28.266666666666666	145746.0
4650.0	226.0	30.133333333333333	145972.0
4657.5	235.0	31.333333333333332	146207.0
4665.0	235.0	31.333333333333332	146442.0
4672.5	223.0	29.733333333333334	146665.0
4680.0	270.0	36.0	146935.0
4687.5	238.0	31.733333333333334	147173.0
4695.0	243.0	32.4	147416.0
4702.5	215.0	28.666666666666668	147631.0
4710.0	241.0	32.13333333333333	147872.0
4717.5	242.0	32.266666666666666	148114.0
4725.0	235.0	31.333333333333332	148349.0
4732.5	210.0	28.0	148559.0
4740.0	264.0	35.2	148823.0
4747.5	249.0	33.2	149072.0
4755.0	240.0	32.0	149312.0
4762.5	245.0	32.666666666666664	149557.0
4770.0	233.0	31.066666666666666	149790.0
4777.5	232.0	30.933333333333334	150022.0
4785.0	240.0	32.0	150262.0
4792.5	234.0	31.2	150496.0
4800.0	226.0	30.133333333333333	150722.0
4807.5	225.0	30.0	150947.0
4815.0	215.0	28.666666666666668	151162.0
4822.5	253.0	33.733333333333334	151415.0
4830.0	241.0	32.13333333333333	151656.0
4837.5	258.0	34.4	151914.0
4845.0	240.0	32.0	152154.0
4852.5	228.0	30.4	152382.0
4860.0	232.0	30.933333333333334	152614.0
4867.5	250.0	33.333333333333336	152864.0
4875.0	248.0	33.06666666666667	153112.0
4882.5	224.0	29.866666666666667	153336.0
4890.0	236.0	31.466666666666665	153572.0
4897.5	209.0	27.866666666666667	153781.0
4905.0	247.0	32.93333333333333	154028.0
4912.5	240.0	32.0	154268.0
4920.0	212.0	28.266666666666666	154480.0
4927.5	230.0	30.666666666666668	154710.0
4935.0	243.0	32.4	154953.0
4942.5	245.0	32.666666666666664	155198.0
4950.0	245.0	32.666666666666664	155443.0
4957.5	255.0	34.0	155698.0
4965.0	234.0	31.2	155932.0
4972.5	247.0	32.93333333333333	156179.0
4980.0	233.0	31.066666666666666	156412.0
4987.5	253.0	33.733333333333334	156665.0
4995.0	247.0	32.93333333333333	156912.0
5002.5	220.0	29.333333333333332	157132.0
5010.0	232.0	30.933333333333334	157364.0
5017.5	223.0	29.733333333333334	157587.0
5025.0	243.0	32.4	157830.0
5032.5	256.0	34.13333333333333	158086.0
5040.0	245.0	32.666666666666664	158331.0
5047.5	244.0	32.53333333333333	158575.0
5055.0	217.0	28.933333333333334	158792.0
5062.5	218.0	29.066666666666666	159010.0
5070.0	220.0	29.333333333333332	159230.0
5077.5	239.0	31.866666666666667	159469.0
5085.0	232.0	30.933333333333334	159701.0
5092.5	222.0	29.6	159923.0
